Date,System total load in MAW
2019-10-26 23:00:00,40804
2019-10-26 23:15:00,40366
2019-10-26 23:30:00,39932
2019-10-26 23:45:00,39216
2019-10-27 00:00:00,38193
2019-10-27 00:15:00,38047
2019-10-27 00:30:00,37845
2019-10-27 00:45:00,37811
2019-10-27 01:00:00,37967
2019-10-27 01:15:00,37931
2019-10-27 01:30:00,37754
2019-10-27 01:45:00,37342
2019-10-27 02:00:00,37038
2019-10-27 02:15:00,37095
2019-10-27 02:30:00,38125
2019-10-27 02:45:00,38008
2019-10-27 03:00:00,38401
2019-10-27 03:15:00,38394
2019-10-27 03:30:00,38182
2019-10-27 03:45:00,38180
2019-10-27 04:00:00,38040
2019-10-27 04:15:00,38101
2019-10-27 04:30:00,38890
2019-10-27 04:45:00,38487
2019-10-27 05:00:00,39051
2019-10-27 05:15:00,39500
2019-10-27 05:30:00,39354
2019-10-27 05:45:00,39807
2019-10-27 06:00:00,41001
2019-10-27 06:15:00,41651
2019-10-27 06:30:00,42644
2019-10-27 06:45:00,43253
2019-10-27 07:00:00,44404
2019-10-27 07:15:00,44923
2019-10-27 07:30:00,45981
2019-10-27 07:45:00,46869
2019-10-27 08:00:00,47625
2019-10-27 08:15:00,48433
2019-10-27 08:30:00,48900
2019-10-27 08:45:00,48936
2019-10-27 09:00:00,49853
2019-10-27 09:15:00,50120
2019-10-27 09:30:00,50425
2019-10-27 09:45:00,50823
2019-10-27 10:00:00,51052
2019-10-27 10:15:00,51586
2019-10-27 10:30:00,51982
2019-10-27 10:45:00,51925
2019-10-27 11:00:00,52137
2019-10-27 11:15:00,52074
2019-10-27 11:30:00,51505
2019-10-27 11:45:00,50947
2019-10-27 12:00:00,50396
2019-10-27 12:15:00,49761
2019-10-27 12:30:00,49306
2019-10-27 12:45:00,48660
2019-10-27 13:00:00,48097
2019-10-27 13:15:00,47921
2019-10-27 13:30:00,48034
2019-10-27 13:45:00,48144
2019-10-27 14:00:00,48058
2019-10-27 14:15:00,48014
2019-10-27 14:30:00,47941
2019-10-27 14:45:00,47700
2019-10-27 15:00:00,47904
2019-10-27 15:15:00,48086
2019-10-27 15:30:00,48649
2019-10-27 15:45:00,49553
2019-10-27 16:00:00,51263
2019-10-27 16:15:00,53029
2019-10-27 16:30:00,54654
2019-10-27 16:45:00,55408
2019-10-27 17:00:00,56244
2019-10-27 17:15:00,55988
2019-10-27 17:30:00,55647
2019-10-27 17:45:00,54987
2019-10-27 18:00:00,54546
2019-10-27 18:15:00,53976
2019-10-27 18:30:00,53437
2019-10-27 18:45:00,52603
2019-10-27 19:00:00,52368
2019-10-27 19:15:00,51216
2019-10-27 19:30:00,50133
2019-10-27 19:45:00,49359
2019-10-27 20:00:00,48967
2019-10-27 20:15:00,48753
2019-10-27 20:30:00,48340
2019-10-27 20:45:00,48066
2019-10-27 21:00:00,48321
2019-10-27 21:15:00,47740
2019-10-27 21:30:00,46940
2019-10-27 21:45:00,46175
2019-10-27 22:00:00,45431
2019-10-27 22:15:00,44672
2019-10-27 22:30:00,44086
2019-10-27 22:45:00,43561
2019-10-27 23:00:00,43692
2019-10-27 23:15:00,43811
2019-10-27 23:30:00,43497
2019-10-27 23:45:00,43313
2019-10-28 00:00:00,43069
2019-10-28 00:15:00,42772
2019-10-28 00:30:00,42749
2019-10-28 00:45:00,42656
2019-10-28 01:00:00,42612
2019-10-28 01:15:00,42524
2019-10-28 01:30:00,42660
2019-10-28 01:45:00,43028
2019-10-28 02:00:00,43233
2019-10-28 02:15:00,43457
2019-10-28 02:30:00,43505
2019-10-28 02:45:00,43524
2019-10-28 03:00:00,44215
2019-10-28 03:15:00,44517
2019-10-28 03:30:00,45479
2019-10-28 03:45:00,46309
2019-10-28 04:00:00,48188
2019-10-28 04:15:00,49193
2019-10-28 04:30:00,50477
2019-10-28 04:45:00,52152
2019-10-28 05:00:00,55232
2019-10-28 05:15:00,57858
2019-10-28 05:30:00,60161
2019-10-28 05:45:00,61825
2019-10-28 06:00:00,63209
2019-10-28 06:15:00,64102
2019-10-28 06:30:00,64961
2019-10-28 06:45:00,65734
2019-10-28 07:00:00,66375
2019-10-28 07:15:00,66343
2019-10-28 07:30:00,66208
2019-10-28 07:45:00,66125
2019-10-28 08:00:00,65610
2019-10-28 08:15:00,65827
2019-10-28 08:30:00,66158
2019-10-28 08:45:00,66501
2019-10-28 09:00:00,66915
2019-10-28 09:15:00,67337
2019-10-28 09:30:00,67882
2019-10-28 09:45:00,68536
2019-10-28 10:00:00,69249
2019-10-28 10:15:00,69321
2019-10-28 10:30:00,69644
2019-10-28 10:45:00,69745
2019-10-28 11:00:00,69368
2019-10-28 11:15:00,69170
2019-10-28 11:30:00,69443
2019-10-28 11:45:00,69397
2019-10-28 12:00:00,69332
2019-10-28 12:15:00,69113
2019-10-28 12:30:00,68406
2019-10-28 12:45:00,67771
2019-10-28 13:00:00,67594
2019-10-28 13:15:00,67189
2019-10-28 13:30:00,66946
2019-10-28 13:45:00,66645
2019-10-28 14:00:00,66235
2019-10-28 14:15:00,65840
2019-10-28 14:30:00,65329
2019-10-28 14:45:00,64925
2019-10-28 15:00:00,63925
2019-10-28 15:15:00,63799
2019-10-28 15:30:00,63806
2019-10-28 15:45:00,64300
2019-10-28 16:00:00,65134
2019-10-28 16:15:00,66558
2019-10-28 16:30:00,67960
2019-10-28 16:45:00,68401
2019-10-28 17:00:00,68132
2019-10-28 17:15:00,67636
2019-10-28 17:30:00,67096
2019-10-28 17:45:00,66491
2019-10-28 18:00:00,66621
2019-10-28 18:15:00,66470
2019-10-28 18:30:00,65938
2019-10-28 18:45:00,65192
2019-10-28 19:00:00,64664
2019-10-28 19:15:00,63659
2019-10-28 19:30:00,62585
2019-10-28 19:45:00,61709
2019-10-28 20:00:00,60868
2019-10-28 20:15:00,60078
2019-10-28 20:30:00,59011
2019-10-28 20:45:00,57920
2019-10-28 21:00:00,57487
2019-10-28 21:15:00,56529
2019-10-28 21:30:00,55578
2019-10-28 21:45:00,54370
2019-10-28 22:00:00,52734
2019-10-28 22:15:00,51353
2019-10-28 22:30:00,50354
2019-10-28 22:45:00,49622
2019-10-28 23:00:00,49152
2019-10-28 23:15:00,48423
2019-10-28 23:30:00,48143
2019-10-28 23:45:00,47588
2019-10-29 00:00:00,47222
2019-10-29 00:15:00,46990
2019-10-29 00:30:00,46754
2019-10-29 00:45:00,46408
2019-10-29 01:00:00,45934
2019-10-29 01:15:00,45987
2019-10-29 01:30:00,46313
2019-10-29 01:45:00,46392
2019-10-29 02:00:00,46090
2019-10-29 02:15:00,46512
2019-10-29 02:30:00,46741
2019-10-29 02:45:00,47062
2019-10-29 03:00:00,47654
2019-10-29 03:15:00,48180
2019-10-29 03:30:00,48421
2019-10-29 03:45:00,49102
2019-10-29 04:00:00,50415
2019-10-29 04:15:00,51191
2019-10-29 04:30:00,52229
2019-10-29 04:45:00,53918
2019-10-29 05:00:00,57457
2019-10-29 05:15:00,59964
2019-10-29 05:30:00,61913
2019-10-29 05:45:00,63229
2019-10-29 06:00:00,64445
2019-10-29 06:15:00,64885
2019-10-29 06:30:00,65693
2019-10-29 06:45:00,66466
2019-10-29 07:00:00,67260
2019-10-29 07:15:00,67889
2019-10-29 07:30:00,67864
2019-10-29 07:45:00,67965
2019-10-29 08:00:00,68130
2019-10-29 08:15:00,68207
2019-10-29 08:30:00,68258
2019-10-29 08:45:00,68285
2019-10-29 09:00:00,68421
2019-10-29 09:15:00,68513
2019-10-29 09:30:00,68553
2019-10-29 09:45:00,69142
2019-10-29 10:00:00,69125
2019-10-29 10:15:00,69551
2019-10-29 10:30:00,69530
2019-10-29 10:45:00,69395
2019-10-29 11:00:00,68823
2019-10-29 11:15:00,68542
2019-10-29 11:30:00,68291
2019-10-29 11:45:00,68506
2019-10-29 12:00:00,68696
2019-10-29 12:15:00,68362
2019-10-29 12:30:00,67928
2019-10-29 12:45:00,67411
2019-10-29 13:00:00,67334
2019-10-29 13:15:00,67016
2019-10-29 13:30:00,67106
2019-10-29 13:45:00,66999
2019-10-29 14:00:00,66797
2019-10-29 14:15:00,66477
2019-10-29 14:30:00,66184
2019-10-29 14:45:00,66010
2019-10-29 15:00:00,65778
2019-10-29 15:15:00,65466
2019-10-29 15:30:00,65833
2019-10-29 15:45:00,66315
2019-10-29 16:00:00,67275
2019-10-29 16:15:00,68351
2019-10-29 16:30:00,69619
2019-10-29 16:45:00,69946
2019-10-29 17:00:00,69293
2019-10-29 17:15:00,68931
2019-10-29 17:30:00,68654
2019-10-29 17:45:00,68365
2019-10-29 18:00:00,67870
2019-10-29 18:15:00,67250
2019-10-29 18:30:00,66671
