Date,Wind Onshore in MAW
2015-10-27 23:00:00,7188
2015-10-27 23:15:00,7150
2015-10-27 23:30:00,7063
2015-10-27 23:45:00,7028
2015-10-28 00:00:00,6931
2015-10-28 00:15:00,6871
2015-10-28 00:30:00,6791
2015-10-28 00:45:00,6708
2015-10-28 01:00:00,6633
2015-10-28 01:15:00,6623
2015-10-28 01:30:00,6604
2015-10-28 01:45:00,6627
2015-10-28 02:00:00,6626
2015-10-28 02:15:00,6677
2015-10-28 02:30:00,6695
2015-10-28 02:45:00,6712
2015-10-28 03:00:00,6761
2015-10-28 03:15:00,6809
2015-10-28 03:30:00,6847
2015-10-28 03:45:00,6820
2015-10-28 04:00:00,6800
2015-10-28 04:15:00,6900
2015-10-28 04:30:00,6928
2015-10-28 04:45:00,6932
2015-10-28 05:00:00,7027
2015-10-28 05:15:00,6875
2015-10-28 05:30:00,6800
2015-10-28 05:45:00,6761
2015-10-28 06:00:00,6760
2015-10-28 06:15:00,6879
2015-10-28 06:30:00,6928
2015-10-28 06:45:00,6639
2015-10-28 07:00:00,6333
2015-10-28 07:15:00,6158
2015-10-28 07:30:00,5955
2015-10-28 07:45:00,5854
2015-10-28 08:00:00,5623
2015-10-28 08:15:00,5313
2015-10-28 08:30:00,5059
2015-10-28 08:45:00,4786
2015-10-28 09:00:00,4584
2015-10-28 09:15:00,4442
2015-10-28 09:30:00,4255
2015-10-28 09:45:00,4353
2015-10-28 10:00:00,4185
2015-10-28 10:15:00,3905
2015-10-28 10:30:00,3661
2015-10-28 10:45:00,3694
2015-10-28 11:00:00,3648
2015-10-28 11:15:00,3674
2015-10-28 11:30:00,3670
2015-10-28 11:45:00,3584
2015-10-28 12:00:00,3661
2015-10-28 12:15:00,3746
2015-10-28 12:30:00,3845
2015-10-28 12:45:00,4026
2015-10-28 13:00:00,4009
2015-10-28 13:15:00,4147
2015-10-28 13:30:00,4242
2015-10-28 13:45:00,4378
2015-10-28 14:00:00,4312
2015-10-28 14:15:00,4389
2015-10-28 14:30:00,4340
2015-10-28 14:45:00,4302
2015-10-28 15:00:00,4421
2015-10-28 15:15:00,4614
2015-10-28 15:30:00,4769
2015-10-28 15:45:00,4888
2015-10-28 16:00:00,4950
2015-10-28 16:15:00,5266
2015-10-28 16:30:00,5575
2015-10-28 16:45:00,5771
2015-10-28 17:00:00,5711
2015-10-28 17:15:00,5605
2015-10-28 17:30:00,5503
2015-10-28 17:45:00,5435
2015-10-28 18:00:00,5487
2015-10-28 18:15:00,5387
2015-10-28 18:30:00,5286
2015-10-28 18:45:00,5101
2015-10-28 19:00:00,5036
2015-10-28 19:15:00,4967
2015-10-28 19:30:00,4973
2015-10-28 19:45:00,4884
2015-10-28 20:00:00,4785
2015-10-28 20:15:00,4669
2015-10-28 20:30:00,4514
2015-10-28 20:45:00,4317
2015-10-28 21:00:00,4168
2015-10-28 21:15:00,4066
2015-10-28 21:30:00,3975
2015-10-28 21:45:00,3921
2015-10-28 22:00:00,3869
2015-10-28 22:15:00,3812
2015-10-28 22:30:00,3761
2015-10-28 22:45:00,3749
2015-10-28 23:00:00,3760
2015-10-28 23:15:00,3635
2015-10-28 23:30:00,3451
2015-10-28 23:45:00,3378
2015-10-29 00:00:00,3286
2015-10-29 00:15:00,3242
2015-10-29 00:30:00,3132
2015-10-29 00:45:00,3015
2015-10-29 01:00:00,2891
2015-10-29 01:15:00,2759
2015-10-29 01:30:00,2673
2015-10-29 01:45:00,2636
2015-10-29 02:00:00,2586
2015-10-29 02:15:00,2555
2015-10-29 02:30:00,2546
2015-10-29 02:45:00,2517
2015-10-29 03:00:00,2442
2015-10-29 03:15:00,2374
2015-10-29 03:30:00,2322
2015-10-29 03:45:00,2285
2015-10-29 04:00:00,2242
2015-10-29 04:15:00,2228
2015-10-29 04:30:00,2166
2015-10-29 04:45:00,2062
2015-10-29 05:00:00,1959
2015-10-29 05:15:00,1812
2015-10-29 05:30:00,1782
2015-10-29 05:45:00,1735
2015-10-29 06:00:00,1624
2015-10-29 06:15:00,1558
2015-10-29 06:30:00,1487
2015-10-29 06:45:00,1471
2015-10-29 07:00:00,1423
2015-10-29 07:15:00,1339
2015-10-29 07:30:00,1318
2015-10-29 07:45:00,1224
2015-10-29 08:00:00,1120
2015-10-29 08:15:00,960
2015-10-29 08:30:00,804
2015-10-29 08:45:00,706
2015-10-29 09:00:00,666
2015-10-29 09:15:00,637
2015-10-29 09:30:00,602
2015-10-29 09:45:00,557
2015-10-29 10:00:00,527
2015-10-29 10:15:00,569
2015-10-29 10:30:00,586
2015-10-29 10:45:00,554
2015-10-29 11:00:00,496
2015-10-29 11:15:00,483
2015-10-29 11:30:00,476
2015-10-29 11:45:00,408
2015-10-29 12:00:00,411
2015-10-29 12:15:00,373
2015-10-29 12:30:00,320
2015-10-29 12:45:00,306
2015-10-29 13:00:00,302
2015-10-29 13:15:00,301
2015-10-29 13:30:00,314
2015-10-29 13:45:00,313
2015-10-29 14:00:00,277
2015-10-29 14:15:00,248
2015-10-29 14:30:00,226
2015-10-29 14:45:00,215
2015-10-29 15:00:00,217
2015-10-29 15:15:00,216
2015-10-29 15:30:00,210
2015-10-29 15:45:00,205
2015-10-29 16:00:00,241
2015-10-29 16:15:00,251
2015-10-29 16:30:00,276
2015-10-29 16:45:00,301
2015-10-29 17:00:00,319
2015-10-29 17:15:00,343
2015-10-29 17:30:00,374
2015-10-29 17:45:00,391
2015-10-29 18:00:00,433
2015-10-29 18:15:00,490
2015-10-29 18:30:00,525
2015-10-29 18:45:00,549
2015-10-29 19:00:00,570
2015-10-29 19:15:00,580
2015-10-29 19:30:00,590
2015-10-29 19:45:00,596
2015-10-29 20:00:00,569
2015-10-29 20:15:00,573
2015-10-29 20:30:00,585
2015-10-29 20:45:00,581
2015-10-29 21:00:00,586
2015-10-29 21:15:00,587
2015-10-29 21:30:00,569
2015-10-29 21:45:00,559
2015-10-29 22:00:00,538
2015-10-29 22:15:00,537
2015-10-29 22:30:00,545
2015-10-29 22:45:00,498
2015-10-29 23:00:00,492
2015-10-29 23:15:00,495
2015-10-29 23:30:00,493
2015-10-29 23:45:00,494
2015-10-30 00:00:00,525
2015-10-30 00:15:00,555
2015-10-30 00:30:00,604
2015-10-30 00:45:00,664
2015-10-30 01:00:00,735
2015-10-30 01:15:00,794
2015-10-30 01:30:00,858
2015-10-30 01:45:00,893
2015-10-30 02:00:00,923
2015-10-30 02:15:00,973
2015-10-30 02:30:00,1057
2015-10-30 02:45:00,1122
2015-10-30 03:00:00,1165
2015-10-30 03:15:00,1241
2015-10-30 03:30:00,1324
2015-10-30 03:45:00,1423
2015-10-30 04:00:00,1514
2015-10-30 04:15:00,1573
2015-10-30 04:30:00,1616
2015-10-30 04:45:00,1601
2015-10-30 05:00:00,1622
2015-10-30 05:15:00,1664
2015-10-30 05:30:00,1692
2015-10-30 05:45:00,1703
2015-10-30 06:00:00,1758
2015-10-30 06:15:00,1830
2015-10-30 06:30:00,1966
2015-10-30 06:45:00,2079
2015-10-30 07:00:00,2125
2015-10-30 07:15:00,2210
2015-10-30 07:30:00,2181
2015-10-30 07:45:00,2160
2015-10-30 08:00:00,2206
2015-10-30 08:15:00,2123
2015-10-30 08:30:00,2062
2015-10-30 08:45:00,1891
2015-10-30 09:00:00,1752
2015-10-30 09:15:00,1697
