Date,System total load in MAW
2017-10-26 23:00:00,46962
2017-10-26 23:15:00,46566
2017-10-26 23:30:00,46167
2017-10-26 23:45:00,45805
2017-10-27 00:00:00,45303
2017-10-27 00:15:00,45106
2017-10-27 00:30:00,44891
2017-10-27 00:45:00,45047
2017-10-27 01:00:00,45041
2017-10-27 01:15:00,44901
2017-10-27 01:30:00,45259
2017-10-27 01:45:00,45347
2017-10-27 02:00:00,45154
2017-10-27 02:15:00,45837
2017-10-27 02:30:00,46551
2017-10-27 02:45:00,47190
2017-10-27 03:00:00,48577
2017-10-27 03:15:00,49220
2017-10-27 03:30:00,50733
2017-10-27 03:45:00,52391
2017-10-27 04:00:00,55857
2017-10-27 04:15:00,58457
2017-10-27 04:30:00,60293
2017-10-27 04:45:00,61952
2017-10-27 05:00:00,64272
2017-10-27 05:15:00,65633
2017-10-27 05:30:00,67458
2017-10-27 05:45:00,68248
2017-10-27 06:00:00,69082
2017-10-27 06:15:00,69140
2017-10-27 06:30:00,69393
2017-10-27 06:45:00,69626
2017-10-27 07:00:00,68934
2017-10-27 07:15:00,68826
2017-10-27 07:30:00,69382
2017-10-27 07:45:00,69457
2017-10-27 08:00:00,69547
2017-10-27 08:15:00,69775
2017-10-27 08:30:00,70167
2017-10-27 08:45:00,70746
2017-10-27 09:00:00,71311
2017-10-27 09:15:00,71192
2017-10-27 09:30:00,71394
2017-10-27 09:45:00,71162
2017-10-27 10:00:00,69704
2017-10-27 10:15:00,69908
2017-10-27 10:30:00,70075
2017-10-27 10:45:00,69279
2017-10-27 11:00:00,68383
2017-10-27 11:15:00,67983
2017-10-27 11:30:00,67280
2017-10-27 11:45:00,66529
2017-10-27 12:00:00,65940
2017-10-27 12:15:00,65669
2017-10-27 12:30:00,64978
2017-10-27 12:45:00,64455
2017-10-27 13:00:00,64279
2017-10-27 13:15:00,63917
2017-10-27 13:30:00,63743
2017-10-27 13:45:00,63691
2017-10-27 14:00:00,64324
2017-10-27 14:15:00,64046
2017-10-27 14:30:00,63377
2017-10-27 14:45:00,63193
2017-10-27 15:00:00,63846
2017-10-27 15:15:00,63915
2017-10-27 15:30:00,64381
2017-10-27 15:45:00,65198
2017-10-27 16:00:00,65626
2017-10-27 16:15:00,66593
2017-10-27 16:30:00,67459
2017-10-27 16:45:00,67270
2017-10-27 17:00:00,66553
