Date,Wind Onshore in MAW
2019-10-26 23:00:00,28719
2019-10-26 23:15:00,28283
2019-10-26 23:30:00,27741
2019-10-26 23:45:00,27618
2019-10-27 00:00:00,27432
2019-10-27 00:15:00,27163
2019-10-27 00:30:00,27253
2019-10-27 00:45:00,27744
2019-10-27 01:00:00,27725
2019-10-27 01:15:00,27191
2019-10-27 01:30:00,26747
2019-10-27 01:45:00,26579
2019-10-27 02:00:00,27773
2019-10-27 02:15:00,27854
2019-10-27 02:30:00,28041
2019-10-27 02:45:00,27802
2019-10-27 03:00:00,27227
2019-10-27 03:15:00,27387
2019-10-27 03:30:00,27105
2019-10-27 03:45:00,26494
2019-10-27 04:00:00,27076
2019-10-27 04:15:00,27158
2019-10-27 04:30:00,26969
2019-10-27 04:45:00,26320
2019-10-27 05:00:00,25897
2019-10-27 05:15:00,25740
2019-10-27 05:30:00,25267
2019-10-27 05:45:00,25291
2019-10-27 06:00:00,25321
2019-10-27 06:15:00,25567
2019-10-27 06:30:00,25346
2019-10-27 06:45:00,24338
2019-10-27 07:00:00,23656
2019-10-27 07:15:00,23104
2019-10-27 07:30:00,22632
2019-10-27 07:45:00,22224
2019-10-27 08:00:00,21686
2019-10-27 08:15:00,21383
2019-10-27 08:30:00,20831
2019-10-27 08:45:00,20675
2019-10-27 09:00:00,20620
2019-10-27 09:15:00,20142
2019-10-27 09:30:00,19997
2019-10-27 09:45:00,19595
2019-10-27 10:00:00,19480
2019-10-27 10:15:00,18976
2019-10-27 10:30:00,18643
2019-10-27 10:45:00,18232
2019-10-27 11:00:00,17857
2019-10-27 11:15:00,17439
2019-10-27 11:30:00,17010
2019-10-27 11:45:00,16312
2019-10-27 12:00:00,15792
2019-10-27 12:15:00,15407
2019-10-27 12:30:00,14991
2019-10-27 12:45:00,14409
2019-10-27 13:00:00,13972
2019-10-27 13:15:00,13742
2019-10-27 13:30:00,13537
2019-10-27 13:45:00,13172
2019-10-27 14:00:00,12738
2019-10-27 14:15:00,12402
2019-10-27 14:30:00,11981
2019-10-27 14:45:00,11505
2019-10-27 15:00:00,11216
2019-10-27 15:15:00,11180
2019-10-27 15:30:00,11590
2019-10-27 15:45:00,12136
2019-10-27 16:00:00,12140
2019-10-27 16:15:00,12406
2019-10-27 16:30:00,12667
2019-10-27 16:45:00,13155
2019-10-27 17:00:00,13266
2019-10-27 17:15:00,13692
2019-10-27 17:30:00,14442
2019-10-27 17:45:00,14939
2019-10-27 18:00:00,15477
2019-10-27 18:15:00,15894
2019-10-27 18:30:00,16257
2019-10-27 18:45:00,16560
2019-10-27 19:00:00,16863
2019-10-27 19:15:00,16858
2019-10-27 19:30:00,16962
2019-10-27 19:45:00,17090
2019-10-27 20:00:00,17192
2019-10-27 20:15:00,17210
2019-10-27 20:30:00,17254
2019-10-27 20:45:00,17271
2019-10-27 21:00:00,16886
2019-10-27 21:15:00,17018
2019-10-27 21:30:00,17088
2019-10-27 21:45:00,17224
