Date,System total load in MAW
2014-12-31 23:00:00,42976
2014-12-31 23:15:00,42540
2014-12-31 23:30:00,42638
2014-12-31 23:45:00,42483
2015-01-01 00:00:00,41917
2015-01-01 00:15:00,41518
2015-01-01 00:30:00,41179
2015-01-01 00:45:00,40756
2015-01-01 01:00:00,40618
2015-01-01 01:15:00,40312
2015-01-01 01:30:00,39984
2015-01-01 01:45:00,39626
2015-01-01 02:00:00,39472
2015-01-01 02:15:00,39217
2015-01-01 02:30:00,38954
2015-01-01 02:45:00,38781
2015-01-01 03:00:00,38765
2015-01-01 03:15:00,38648
2015-01-01 03:30:00,38802
2015-01-01 03:45:00,38845
2015-01-01 04:00:00,39063
2015-01-01 04:15:00,39032
2015-01-01 04:30:00,38904
2015-01-01 04:45:00,38767
2015-01-01 05:00:00,38532
2015-01-01 05:15:00,38835
2015-01-01 05:30:00,39317
2015-01-01 05:45:00,39495
2015-01-01 06:00:00,39777
2015-01-01 06:15:00,40062
2015-01-01 06:30:00,40345
2015-01-01 06:45:00,40640
2015-01-01 07:00:00,40935
2015-01-01 07:15:00,40998
2015-01-01 07:30:00,41121
2015-01-01 07:45:00,41476
2015-01-01 08:00:00,42120
2015-01-01 08:15:00,42624
2015-01-01 08:30:00,43239
2015-01-01 08:45:00,43869
2015-01-01 09:00:00,44285
2015-01-01 09:15:00,44809
2015-01-01 09:30:00,45370
2015-01-01 09:45:00,45889
2015-01-01 10:00:00,46494
2015-01-01 10:15:00,46867
2015-01-01 10:30:00,47190
2015-01-01 10:45:00,47501
2015-01-01 11:00:00,47876
2015-01-01 11:15:00,48213
2015-01-01 11:30:00,48396
2015-01-01 11:45:00,48154
2015-01-01 12:00:00,47721
2015-01-01 12:15:00,47177
2015-01-01 12:30:00,46955
2015-01-01 12:45:00,46804
2015-01-01 13:00:00,46758
2015-01-01 13:15:00,46807
2015-01-01 13:30:00,46812
2015-01-01 13:45:00,46633
2015-01-01 14:00:00,47112
2015-01-01 14:15:00,47187
2015-01-01 14:30:00,47458
2015-01-01 14:45:00,47853
2015-01-01 15:00:00,48094
2015-01-01 15:15:00,48685
2015-01-01 15:30:00,49891
2015-01-01 15:45:00,51092
2015-01-01 16:00:00,52452
2015-01-01 16:15:00,53474
2015-01-01 16:30:00,53886
2015-01-01 16:45:00,53828
2015-01-01 17:00:00,53868
2015-01-01 17:15:00,53802
2015-01-01 17:30:00,53618
2015-01-01 17:45:00,53400
2015-01-01 18:00:00,53528
2015-01-01 18:15:00,53548
2015-01-01 18:30:00,52891
2015-01-01 18:45:00,52082
2015-01-01 19:00:00,51573
2015-01-01 19:15:00,50785
2015-01-01 19:30:00,49863
2015-01-01 19:45:00,49031
2015-01-01 20:00:00,48875
2015-01-01 20:15:00,48779
2015-01-01 20:30:00,48494
2015-01-01 20:45:00,48773
2015-01-01 21:00:00,49745
2015-01-01 21:15:00,48991
2015-01-01 21:30:00,48268
2015-01-01 21:45:00,47491
2015-01-01 22:00:00,47012
2015-01-01 22:15:00,46114
2015-01-01 22:30:00,45146
2015-01-01 22:45:00,44399
2015-01-01 23:00:00,42967
2015-01-01 23:15:00,43105
2015-01-01 23:30:00,42102
