Date,Day ahead/Wind Onshore in MAW
2019-10-26 22:00:00,28744
2019-10-26 22:15:00,28747
2019-10-26 22:30:00,28756
2019-10-26 22:45:00,28754
2019-10-26 23:00:00,28748
2019-10-26 23:15:00,28694
2019-10-26 23:30:00,28641
2019-10-26 23:45:00,28585
2019-10-27 00:00:00,28482
2019-10-27 00:15:00,28235
2019-10-27 00:30:00,27983
2019-10-27 00:45:00,27719
2019-10-27 01:00:00,27392
2019-10-27 01:15:00,27077
2019-10-27 01:30:00,26741
2019-10-27 01:45:00,26404
2019-10-27 02:00:00,26078
2019-10-27 02:15:00,25808
2019-10-27 02:30:00,25536
2019-10-27 02:45:00,25247
2019-10-27 03:00:00,24987
2019-10-27 03:15:00,24695
2019-10-27 03:30:00,24389
2019-10-27 03:45:00,24078
2019-10-27 04:00:00,23796
2019-10-27 04:15:00,23496
2019-10-27 04:30:00,23194
2019-10-27 04:45:00,22882
2019-10-27 05:00:00,22738
2019-10-27 05:15:00,22405
2019-10-27 05:30:00,22068
2019-10-27 05:45:00,21734
2019-10-27 06:00:00,21424
2019-10-27 06:15:00,21136
2019-10-27 06:30:00,20607
2019-10-27 06:45:00,20056
2019-10-27 07:00:00,19473
2019-10-27 07:15:00,18904
2019-10-27 07:30:00,18342
2019-10-27 07:45:00,17828
2019-10-27 08:00:00,17329
2019-10-27 08:15:00,16980
2019-10-27 08:30:00,16629
2019-10-27 08:45:00,16266
2019-10-27 09:00:00,16027
2019-10-27 09:15:00,15940
2019-10-27 09:30:00,15857
2019-10-27 09:45:00,15790
2019-10-27 10:00:00,15727
2019-10-27 10:15:00,15656
2019-10-27 10:30:00,15585
2019-10-27 10:45:00,15505
2019-10-27 11:00:00,15424
2019-10-27 11:15:00,15326
2019-10-27 11:30:00,15224
2019-10-27 11:45:00,15105
2019-10-27 12:00:00,14966
2019-10-27 12:15:00,14783
2019-10-27 12:30:00,14611
2019-10-27 12:45:00,14418
2019-10-27 13:00:00,14212
2019-10-27 13:15:00,13969
2019-10-27 13:30:00,13729
2019-10-27 13:45:00,13507
2019-10-27 14:00:00,13287
2019-10-27 14:15:00,13059
2019-10-27 14:30:00,12833
