Date,Realised/Wind Onshore in MAW
2016-10-26 23:00:00,5500
2016-10-26 23:15:00,5506
2016-10-26 23:30:00,5413
2016-10-26 23:45:00,5443
2016-10-27 00:00:00,5471
2016-10-27 00:15:00,5607
2016-10-27 00:30:00,5587
2016-10-27 00:45:00,5627
2016-10-27 01:00:00,5732
2016-10-27 01:15:00,5785
2016-10-27 01:30:00,5808
2016-10-27 01:45:00,5862
2016-10-27 02:00:00,6033
2016-10-27 02:15:00,6160
2016-10-27 02:30:00,6207
2016-10-27 02:45:00,6293
2016-10-27 03:00:00,6318
2016-10-27 03:15:00,6228
2016-10-27 03:30:00,6108
2016-10-27 03:45:00,6003
2016-10-27 04:00:00,6101
2016-10-27 04:15:00,6022
2016-10-27 04:30:00,6059
2016-10-27 04:45:00,6096
2016-10-27 05:00:00,6122
2016-10-27 05:15:00,5978
2016-10-27 05:30:00,5889
2016-10-27 05:45:00,5898
2016-10-27 06:00:00,5875
2016-10-27 06:15:00,5802
2016-10-27 06:30:00,5725
2016-10-27 06:45:00,5630
2016-10-27 07:00:00,5522
2016-10-27 07:15:00,5473
2016-10-27 07:30:00,5301
2016-10-27 07:45:00,5300
2016-10-27 08:00:00,5055
2016-10-27 08:15:00,4909
2016-10-27 08:30:00,4873
2016-10-27 08:45:00,4837
2016-10-27 09:00:00,4682
2016-10-27 09:15:00,4713
2016-10-27 09:30:00,4592
2016-10-27 09:45:00,4472
2016-10-27 10:00:00,4448
2016-10-27 10:15:00,4583
2016-10-27 10:30:00,4777
2016-10-27 10:45:00,4830
2016-10-27 11:00:00,4820
2016-10-27 11:15:00,4759
2016-10-27 11:30:00,4718
2016-10-27 11:45:00,4770
2016-10-27 12:00:00,4750
2016-10-27 12:15:00,4833
2016-10-27 12:30:00,4884
2016-10-27 12:45:00,5099
2016-10-27 13:00:00,5307
2016-10-27 13:15:00,5320
2016-10-27 13:30:00,5312
2016-10-27 13:45:00,5210
2016-10-27 14:00:00,5241
2016-10-27 14:15:00,5338
2016-10-27 14:30:00,5330
2016-10-27 14:45:00,5452
2016-10-27 15:00:00,5697
2016-10-27 15:15:00,5804
2016-10-27 15:30:00,5984
2016-10-27 15:45:00,6401
2016-10-27 16:00:00,6543
2016-10-27 16:15:00,6609
