Date,System total load in MAW
2015-10-27 23:00:00,48060
2015-10-27 23:15:00,47373
2015-10-27 23:30:00,46911
2015-10-27 23:45:00,46385
2015-10-28 00:00:00,45746
2015-10-28 00:15:00,45240
2015-10-28 00:30:00,45130
2015-10-28 00:45:00,44966
2015-10-28 01:00:00,44495
2015-10-28 01:15:00,44289
2015-10-28 01:30:00,44403
2015-10-28 01:45:00,44661
2015-10-28 02:00:00,44801
2015-10-28 02:15:00,44999
2015-10-28 02:30:00,45323
2015-10-28 02:45:00,45657
2015-10-28 03:00:00,46333
2015-10-28 03:15:00,46734
2015-10-28 03:30:00,47476
2015-10-28 03:45:00,48085
2015-10-28 04:00:00,49374
2015-10-28 04:15:00,50085
2015-10-28 04:30:00,51339
2015-10-28 04:45:00,52562
2015-10-28 05:00:00,55662
2015-10-28 05:15:00,58146
2015-10-28 05:30:00,60033
2015-10-28 05:45:00,61445
2015-10-28 06:00:00,63018
2015-10-28 06:15:00,63945
2015-10-28 06:30:00,64832
2015-10-28 06:45:00,65732
2015-10-28 07:00:00,66375
2015-10-28 07:15:00,66329
2015-10-28 07:30:00,66405
2015-10-28 07:45:00,66435
2015-10-28 08:00:00,66450
2015-10-28 08:15:00,66744
2015-10-28 08:30:00,67138
2015-10-28 08:45:00,67365
2015-10-28 09:00:00,67435
2015-10-28 09:15:00,67940
2015-10-28 09:30:00,67966
2015-10-28 09:45:00,68147
2015-10-28 10:00:00,68386
2015-10-28 10:15:00,68851
2015-10-28 10:30:00,68880
2015-10-28 10:45:00,68687
2015-10-28 11:00:00,68003
2015-10-28 11:15:00,67792
2015-10-28 11:30:00,67790
2015-10-28 11:45:00,67707
2015-10-28 12:00:00,67584
2015-10-28 12:15:00,67137
2015-10-28 12:30:00,66518
2015-10-28 12:45:00,65867
2015-10-28 13:00:00,66020
2015-10-28 13:15:00,65963
2015-10-28 13:30:00,65716
2015-10-28 13:45:00,65616
2015-10-28 14:00:00,65804
2015-10-28 14:15:00,65451
2015-10-28 14:30:00,65266
2015-10-28 14:45:00,64844
2015-10-28 15:00:00,64723
2015-10-28 15:15:00,64667
2015-10-28 15:30:00,64755
2015-10-28 15:45:00,65448
2015-10-28 16:00:00,66392
2015-10-28 16:15:00,68076
2015-10-28 16:30:00,69601
2015-10-28 16:45:00,70213
2015-10-28 17:00:00,69867
2015-10-28 17:15:00,69614
2015-10-28 17:30:00,69353
2015-10-28 17:45:00,69099
2015-10-28 18:00:00,68496
2015-10-28 18:15:00,67604
2015-10-28 18:30:00,66769
2015-10-28 18:45:00,66142
2015-10-28 19:00:00,64699
2015-10-28 19:15:00,63693
2015-10-28 19:30:00,62653
2015-10-28 19:45:00,61324
2015-10-28 20:00:00,60721
2015-10-28 20:15:00,60019
2015-10-28 20:30:00,58747
2015-10-28 20:45:00,57591
2015-10-28 21:00:00,57514
2015-10-28 21:15:00,56569
2015-10-28 21:30:00,55235
2015-10-28 21:45:00,53831
2015-10-28 22:00:00,52824
2015-10-28 22:15:00,51769
2015-10-28 22:30:00,50545
2015-10-28 22:45:00,49476
2015-10-28 23:00:00,48090
2015-10-28 23:15:00,47485
2015-10-28 23:30:00,46811
2015-10-28 23:45:00,46292
2015-10-29 00:00:00,45483
2015-10-29 00:15:00,45044
2015-10-29 00:30:00,44853
2015-10-29 00:45:00,44599
2015-10-29 01:00:00,44155
2015-10-29 01:15:00,43789
2015-10-29 01:30:00,43846
2015-10-29 01:45:00,44157
2015-10-29 02:00:00,44189
2015-10-29 02:15:00,44447
2015-10-29 02:30:00,44572
2015-10-29 02:45:00,44780
2015-10-29 03:00:00,45495
2015-10-29 03:15:00,45951
2015-10-29 03:30:00,46493
2015-10-29 03:45:00,47289
2015-10-29 04:00:00,48679
2015-10-29 04:15:00,49266
2015-10-29 04:30:00,50375
2015-10-29 04:45:00,51870
2015-10-29 05:00:00,54931
2015-10-29 05:15:00,57286
2015-10-29 05:30:00,59349
2015-10-29 05:45:00,60953
2015-10-29 06:00:00,62060
2015-10-29 06:15:00,62998
2015-10-29 06:30:00,64011
2015-10-29 06:45:00,64834
2015-10-29 07:00:00,65794
2015-10-29 07:15:00,65955
2015-10-29 07:30:00,66171
2015-10-29 07:45:00,66309
2015-10-29 08:00:00,65999
2015-10-29 08:15:00,66199
2015-10-29 08:30:00,66632
2015-10-29 08:45:00,66804
2015-10-29 09:00:00,67001
2015-10-29 09:15:00,67209
2015-10-29 09:30:00,67464
2015-10-29 09:45:00,67729
2015-10-29 10:00:00,68071
2015-10-29 10:15:00,68359
2015-10-29 10:30:00,68603
2015-10-29 10:45:00,68495
2015-10-29 11:00:00,67755
2015-10-29 11:15:00,67296
2015-10-29 11:30:00,67057
2015-10-29 11:45:00,66952
2015-10-29 12:00:00,67067
2015-10-29 12:15:00,66737
2015-10-29 12:30:00,66394
2015-10-29 12:45:00,66008
2015-10-29 13:00:00,66049
2015-10-29 13:15:00,65826
2015-10-29 13:30:00,65827
2015-10-29 13:45:00,65568
2015-10-29 14:00:00,65672
2015-10-29 14:15:00,65353
2015-10-29 14:30:00,64940
2015-10-29 14:45:00,64456
2015-10-29 15:00:00,64339
2015-10-29 15:15:00,64241
2015-10-29 15:30:00,64497
2015-10-29 15:45:00,65213
2015-10-29 16:00:00,66697
2015-10-29 16:15:00,67934
2015-10-29 16:30:00,68798
2015-10-29 16:45:00,69350
2015-10-29 17:00:00,68943
2015-10-29 17:15:00,68679
2015-10-29 17:30:00,68356
2015-10-29 17:45:00,68225
2015-10-29 18:00:00,67879
2015-10-29 18:15:00,67095
2015-10-29 18:30:00,66232
2015-10-29 18:45:00,65748
2015-10-29 19:00:00,64383
2015-10-29 19:15:00,63248
2015-10-29 19:30:00,62061
2015-10-29 19:45:00,60854
2015-10-29 20:00:00,60154
2015-10-29 20:15:00,59365
2015-10-29 20:30:00,57983
2015-10-29 20:45:00,57253
2015-10-29 21:00:00,56993
2015-10-29 21:15:00,56036
2015-10-29 21:30:00,54685
2015-10-29 21:45:00,53425
2015-10-29 22:00:00,52092
2015-10-29 22:15:00,50987
2015-10-29 22:30:00,49831
2015-10-29 22:45:00,48844
2015-10-29 23:00:00,48073
2015-10-29 23:15:00,47489
2015-10-29 23:30:00,46625
2015-10-29 23:45:00,46064
2015-10-30 00:00:00,45410
2015-10-30 00:15:00,45131
2015-10-30 00:30:00,44603
2015-10-30 00:45:00,44229
2015-10-30 01:00:00,43742
2015-10-30 01:15:00,43654
2015-10-30 01:30:00,43893
2015-10-30 01:45:00,43857
2015-10-30 02:00:00,44172
2015-10-30 02:15:00,44278
2015-10-30 02:30:00,44506
2015-10-30 02:45:00,44777
2015-10-30 03:00:00,45260
2015-10-30 03:15:00,45632
2015-10-30 03:30:00,46153
2015-10-30 03:45:00,46932
2015-10-30 04:00:00,47940
2015-10-30 04:15:00,48917
2015-10-30 04:30:00,50141
2015-10-30 04:45:00,51432
2015-10-30 05:00:00,54589
2015-10-30 05:15:00,56979
2015-10-30 05:30:00,59051
