Date,System total load in MAW
2014-12-31 23:00:00,42955
2014-12-31 23:15:00,42412
2014-12-31 23:30:00,41901
2014-12-31 23:45:00,41355
2015-01-01 00:00:00,40710
2015-01-01 00:15:00,40204
2015-01-01 00:30:00,39640
2015-01-01 00:45:00,39324
2015-01-01 01:00:00,39002
2015-01-01 01:15:00,38869
2015-01-01 01:30:00,38783
2015-01-01 01:45:00,38598
2015-01-01 02:00:00,38626
2015-01-01 02:15:00,38459
2015-01-01 02:30:00,38414
2015-01-01 02:45:00,38461
2015-01-01 03:00:00,38559
2015-01-01 03:15:00,38490
2015-01-01 03:30:00,38713
2015-01-01 03:45:00,38813
2015-01-01 04:00:00,38876
2015-01-01 04:15:00,38828
2015-01-01 04:30:00,38807
2015-01-01 04:45:00,38582
2015-01-01 05:00:00,37456
2015-01-01 05:15:00,36618
2015-01-01 05:30:00,37170
2015-01-01 05:45:00,37746
2015-01-01 06:00:00,39111
2015-01-01 06:15:00,40432
2015-01-01 06:30:00,40745
2015-01-01 06:45:00,41198
2015-01-01 07:00:00,42047
2015-01-01 07:15:00,42497
2015-01-01 07:30:00,42458
2015-01-01 07:45:00,43086
2015-01-01 08:00:00,44128
2015-01-01 08:15:00,44907
2015-01-01 08:30:00,45321
2015-01-01 08:45:00,45726
2015-01-01 09:00:00,46160
2015-01-01 09:15:00,46745
2015-01-01 09:30:00,47555
2015-01-01 09:45:00,47944
2015-01-01 10:00:00,48865
2015-01-01 10:15:00,49382
2015-01-01 10:30:00,50033
2015-01-01 10:45:00,50133
2015-01-01 11:00:00,50178
2015-01-01 11:15:00,50231
2015-01-01 11:30:00,50150
2015-01-01 11:45:00,49080
2015-01-01 12:00:00,47602
2015-01-01 12:15:00,47263
2015-01-01 12:30:00,47800
2015-01-01 12:45:00,47447
2015-01-01 13:00:00,46619
2015-01-01 13:15:00,46983
2015-01-01 13:30:00,47635
2015-01-01 13:45:00,47149
2015-01-01 14:00:00,47423
2015-01-01 14:15:00,47436
2015-01-01 14:30:00,47270
2015-01-01 14:45:00,47403
2015-01-01 15:00:00,47838
2015-01-01 15:15:00,48181
2015-01-01 15:30:00,49234
2015-01-01 15:45:00,50490
2015-01-01 16:00:00,51307
2015-01-01 16:15:00,52149
2015-01-01 16:30:00,52753
2015-01-01 16:45:00,52943
2015-01-01 17:00:00,53375
2015-01-01 17:15:00,53496
2015-01-01 17:30:00,53421
2015-01-01 17:45:00,53177
2015-01-01 18:00:00,53186
2015-01-01 18:15:00,52873
2015-01-01 18:30:00,52481
2015-01-01 18:45:00,51855
2015-01-01 19:00:00,51271
2015-01-01 19:15:00,50361
2015-01-01 19:30:00,49513
2015-01-01 19:45:00,48936
2015-01-01 20:00:00,48941
2015-01-01 20:15:00,48728
2015-01-01 20:30:00,47372
2015-01-01 20:45:00,47344
2015-01-01 21:00:00,48079
2015-01-01 21:15:00,47771
2015-01-01 21:30:00,48080
2015-01-01 21:45:00,47284
2015-01-01 22:00:00,46677
2015-01-01 22:15:00,46067
2015-01-01 22:30:00,44100
2015-01-01 22:45:00,42660
2015-01-01 23:00:00,41215
2015-01-01 23:15:00,39055
2015-01-01 23:30:00,40238
2015-01-01 23:45:00,39805
2015-01-02 00:00:00,39257
2015-01-02 00:15:00,38803
2015-01-02 00:30:00,38517
2015-01-02 00:45:00,38269
2015-01-02 01:00:00,37882
2015-01-02 01:15:00,37817
2015-01-02 01:30:00,37831
2015-01-02 01:45:00,37749
2015-01-02 02:00:00,37877
2015-01-02 02:15:00,37794
2015-01-02 02:30:00,37735
2015-01-02 02:45:00,37907
2015-01-02 03:00:00,38537
2015-01-02 03:15:00,38679
2015-01-02 03:30:00,38990
2015-01-02 03:45:00,39493
2015-01-02 04:00:00,40010
2015-01-02 04:15:00,39979
2015-01-02 04:30:00,40613
2015-01-02 04:45:00,41408
2015-01-02 05:00:00,42119
2015-01-02 05:15:00,42613
2015-01-02 05:30:00,43850
2015-01-02 05:45:00,45019
2015-01-02 06:00:00,47059
2015-01-02 06:15:00,48854
2015-01-02 06:30:00,49747
2015-01-02 06:45:00,50499
2015-01-02 07:00:00,51317
2015-01-02 07:15:00,51397
2015-01-02 07:30:00,51617
2015-01-02 07:45:00,51829
2015-01-02 08:00:00,52335
2015-01-02 08:15:00,53045
2015-01-02 08:30:00,53413
2015-01-02 08:45:00,53739
2015-01-02 09:00:00,54066
2015-01-02 09:15:00,54205
2015-01-02 09:30:00,54545
2015-01-02 09:45:00,54966
2015-01-02 10:00:00,55287
2015-01-02 10:15:00,55780
2015-01-02 10:30:00,55933
2015-01-02 10:45:00,55742
2015-01-02 11:00:00,55955
2015-01-02 11:15:00,55824
2015-01-02 11:30:00,55848
2015-01-02 11:45:00,54880
2015-01-02 12:00:00,53581
2015-01-02 12:15:00,53376
2015-01-02 12:30:00,53995
2015-01-02 12:45:00,53840
2015-01-02 13:00:00,52378
2015-01-02 13:15:00,53257
2015-01-02 13:30:00,53852
2015-01-02 13:45:00,53772
2015-01-02 14:00:00,53629
2015-01-02 14:15:00,53191
2015-01-02 14:30:00,53237
2015-01-02 14:45:00,53043
2015-01-02 15:00:00,53466
2015-01-02 15:15:00,53840
2015-01-02 15:30:00,54818
2015-01-02 15:45:00,55839
2015-01-02 16:00:00,56468
2015-01-02 16:15:00,57288
2015-01-02 16:30:00,57505
2015-01-02 16:45:00,57670
2015-01-02 17:00:00,57651
2015-01-02 17:15:00,57332
2015-01-02 17:30:00,57203
2015-01-02 17:45:00,56886
2015-01-02 18:00:00,56641
2015-01-02 18:15:00,55911
2015-01-02 18:30:00,55317
2015-01-02 18:45:00,54465
2015-01-02 19:00:00,53461
2015-01-02 19:15:00,52282
2015-01-02 19:30:00,51096
2015-01-02 19:45:00,50295
2015-01-02 20:00:00,50002
2015-01-02 20:15:00,48503
2015-01-02 20:30:00,46584
2015-01-02 20:45:00,46101
2015-01-02 21:00:00,46533
2015-01-02 21:15:00,46633
2015-01-02 21:30:00,45812
2015-01-02 21:45:00,44912
2015-01-02 22:00:00,44705
2015-01-02 22:15:00,44663
2015-01-02 22:30:00,44964
2015-01-02 22:45:00,43563
2015-01-02 23:00:00,42776
2015-01-02 23:15:00,41478
2015-01-02 23:30:00,42869
2015-01-02 23:45:00,42242
2015-01-03 00:00:00,41625
2015-01-03 00:15:00,41117
2015-01-03 00:30:00,40681
2015-01-03 00:45:00,40427
2015-01-03 01:00:00,39981
2015-01-03 01:15:00,39799
2015-01-03 01:30:00,39668
2015-01-03 01:45:00,39662
2015-01-03 02:00:00,39693
2015-01-03 02:15:00,39563
2015-01-03 02:30:00,39894
2015-01-03 02:45:00,40148
2015-01-03 03:00:00,40023
2015-01-03 03:15:00,39863
2015-01-03 03:30:00,40447
2015-01-03 03:45:00,40550
2015-01-03 04:00:00,40246
2015-01-03 04:15:00,39931
2015-01-03 04:30:00,39975
2015-01-03 04:45:00,39897
2015-01-03 05:00:00,39903
2015-01-03 05:15:00,39806
2015-01-03 05:30:00,40229
2015-01-03 05:45:00,40915
2015-01-03 06:00:00,41666
2015-01-03 06:15:00,42334
2015-01-03 06:30:00,43304
2015-01-03 06:45:00,44222
2015-01-03 07:00:00,45407
2015-01-03 07:15:00,46117
2015-01-03 07:30:00,47016
2015-01-03 07:45:00,47684
2015-01-03 08:00:00,48696
2015-01-03 08:15:00,49523
2015-01-03 08:30:00,49978
2015-01-03 08:45:00,50434
2015-01-03 09:00:00,51226
2015-01-03 09:15:00,51655
2015-01-03 09:30:00,51835
2015-01-03 09:45:00,52238
2015-01-03 10:00:00,52610
2015-01-03 10:15:00,52995
2015-01-03 10:30:00,53251
2015-01-03 10:45:00,52996
2015-01-03 11:00:00,52893
2015-01-03 11:15:00,52711
2015-01-03 11:30:00,52402
2015-01-03 11:45:00,52244
2015-01-03 12:00:00,51927
2015-01-03 12:15:00,51638
