Date,Day ahead/Wind Onshore in MAW
2015-10-27 23:00:00,5852
2015-10-27 23:15:00,5807
2015-10-27 23:30:00,5765
2015-10-27 23:45:00,5715
2015-10-28 00:00:00,5648
2015-10-28 00:15:00,5639
2015-10-28 00:30:00,5599
2015-10-28 00:45:00,5589
2015-10-28 01:00:00,5592
2015-10-28 01:15:00,5599
2015-10-28 01:30:00,5601
2015-10-28 01:45:00,5613
2015-10-28 02:00:00,5627
2015-10-28 02:15:00,5649
2015-10-28 02:30:00,5704
2015-10-28 02:45:00,5720
2015-10-28 03:00:00,5752
2015-10-28 03:15:00,5804
2015-10-28 03:30:00,5860
2015-10-28 03:45:00,5892
2015-10-28 04:00:00,5926
2015-10-28 04:15:00,5986
2015-10-28 04:30:00,6023
2015-10-28 04:45:00,6061
2015-10-28 05:00:00,6132
2015-10-28 05:15:00,6157
2015-10-28 05:30:00,6177
2015-10-28 05:45:00,6212
2015-10-28 06:00:00,6230
2015-10-28 06:15:00,6156
2015-10-28 06:30:00,6070
2015-10-28 06:45:00,5964
2015-10-28 07:00:00,5892
2015-10-28 07:15:00,5737
2015-10-28 07:30:00,5563
2015-10-28 07:45:00,5372
2015-10-28 08:00:00,5219
2015-10-28 08:15:00,5079
2015-10-28 08:30:00,4912
2015-10-28 08:45:00,4658
2015-10-28 09:00:00,4503
2015-10-28 09:15:00,4383
2015-10-28 09:30:00,4248
2015-10-28 09:45:00,4147
2015-10-28 10:00:00,4059
2015-10-28 10:15:00,4011
2015-10-28 10:30:00,3983
2015-10-28 10:45:00,3958
2015-10-28 11:00:00,3923
2015-10-28 11:15:00,3905
2015-10-28 11:30:00,3933
2015-10-28 11:45:00,3877
2015-10-28 12:00:00,3859
2015-10-28 12:15:00,3868
2015-10-28 12:30:00,3889
2015-10-28 12:45:00,3842
2015-10-28 13:00:00,3869
2015-10-28 13:15:00,3902
2015-10-28 13:30:00,3944
2015-10-28 13:45:00,3994
2015-10-28 14:00:00,4052
2015-10-28 14:15:00,4113
2015-10-28 14:30:00,4202
2015-10-28 14:45:00,4343
2015-10-28 15:00:00,4433
2015-10-28 15:15:00,4549
2015-10-28 15:30:00,4667
2015-10-28 15:45:00,4807
2015-10-28 16:00:00,4934
2015-10-28 16:15:00,5053
2015-10-28 16:30:00,5168
2015-10-28 16:45:00,5289
2015-10-28 17:00:00,5398
2015-10-28 17:15:00,5466
2015-10-28 17:30:00,5554
2015-10-28 17:45:00,5634
2015-10-28 18:00:00,5652
2015-10-28 18:15:00,5555
2015-10-28 18:30:00,5438
2015-10-28 18:45:00,5347
2015-10-28 19:00:00,5257
2015-10-28 19:15:00,5150
2015-10-28 19:30:00,5043
2015-10-28 19:45:00,4929
2015-10-28 20:00:00,4824
2015-10-28 20:15:00,4708
2015-10-28 20:30:00,4595
2015-10-28 20:45:00,4460
2015-10-28 21:00:00,4340
2015-10-28 21:15:00,4241
2015-10-28 21:30:00,4150
2015-10-28 21:45:00,4048
2015-10-28 22:00:00,3959
2015-10-28 22:15:00,3866
2015-10-28 22:30:00,3782
2015-10-28 22:45:00,3693
2015-10-28 23:00:00,3006
2015-10-28 23:15:00,2940
2015-10-28 23:30:00,2884
2015-10-28 23:45:00,2819
2015-10-29 00:00:00,2709
2015-10-29 00:15:00,2662
2015-10-29 00:30:00,2613
2015-10-29 00:45:00,2543
2015-10-29 01:00:00,2487
2015-10-29 01:15:00,2438
2015-10-29 01:30:00,2361
2015-10-29 01:45:00,2301
2015-10-29 02:00:00,2237
2015-10-29 02:15:00,2140
2015-10-29 02:30:00,2045
2015-10-29 02:45:00,1964
2015-10-29 03:00:00,1898
2015-10-29 03:15:00,1881
2015-10-29 03:30:00,1877
2015-10-29 03:45:00,1854
2015-10-29 04:00:00,1844
2015-10-29 04:15:00,1838
2015-10-29 04:30:00,1820
2015-10-29 04:45:00,1794
2015-10-29 05:00:00,1768
2015-10-29 05:15:00,1744
2015-10-29 05:30:00,1711
2015-10-29 05:45:00,1690
2015-10-29 06:00:00,1658
2015-10-29 06:15:00,1622
2015-10-29 06:30:00,1588
2015-10-29 06:45:00,1581
2015-10-29 07:00:00,1555
2015-10-29 07:15:00,1502
2015-10-29 07:30:00,1450
2015-10-29 07:45:00,1429
2015-10-29 08:00:00,1393
2015-10-29 08:15:00,1361
2015-10-29 08:30:00,1313
2015-10-29 08:45:00,1279
2015-10-29 09:00:00,1228
2015-10-29 09:15:00,1180
2015-10-29 09:30:00,1123
2015-10-29 09:45:00,1097
2015-10-29 10:00:00,1055
2015-10-29 10:15:00,1032
2015-10-29 10:30:00,986
2015-10-29 10:45:00,983
2015-10-29 11:00:00,966
2015-10-29 11:15:00,952
2015-10-29 11:30:00,918
2015-10-29 11:45:00,896
2015-10-29 12:00:00,879
2015-10-29 12:15:00,828
2015-10-29 12:30:00,776
2015-10-29 12:45:00,736
2015-10-29 13:00:00,706
2015-10-29 13:15:00,689
2015-10-29 13:30:00,676
2015-10-29 13:45:00,674
2015-10-29 14:00:00,669
2015-10-29 14:15:00,668
2015-10-29 14:30:00,662
2015-10-29 14:45:00,672
2015-10-29 15:00:00,696
2015-10-29 15:15:00,718
2015-10-29 15:30:00,757
2015-10-29 15:45:00,809
2015-10-29 16:00:00,854
2015-10-29 16:15:00,899
2015-10-29 16:30:00,927
2015-10-29 16:45:00,997
2015-10-29 17:00:00,1043
2015-10-29 17:15:00,1095
2015-10-29 17:30:00,1150
2015-10-29 17:45:00,1210
2015-10-29 18:00:00,1265
2015-10-29 18:15:00,1278
2015-10-29 18:30:00,1278
2015-10-29 18:45:00,1323
2015-10-29 19:00:00,1329
2015-10-29 19:15:00,1324
2015-10-29 19:30:00,1331
2015-10-29 19:45:00,1332
2015-10-29 20:00:00,1339
2015-10-29 20:15:00,1344
