Date,System total load in MAW
2015-10-27 23:00:00,47087
2015-10-27 23:15:00,46358
2015-10-27 23:30:00,45673
2015-10-27 23:45:00,45184
2015-10-28 00:00:00,44691
2015-10-28 00:15:00,44213
2015-10-28 00:30:00,44013
2015-10-28 00:45:00,43603
2015-10-28 01:00:00,43299
2015-10-28 01:15:00,43102
2015-10-28 01:30:00,43136
2015-10-28 01:45:00,43222
2015-10-28 02:00:00,43532
2015-10-28 02:15:00,43694
2015-10-28 02:30:00,43996
2015-10-28 02:45:00,44088
2015-10-28 03:00:00,44827
2015-10-28 03:15:00,45231
2015-10-28 03:30:00,45514
2015-10-28 03:45:00,46216
2015-10-28 04:00:00,47727
2015-10-28 04:15:00,48436
2015-10-28 04:30:00,49818
2015-10-28 04:45:00,51052
2015-10-28 05:00:00,53923
2015-10-28 05:15:00,56478
2015-10-28 05:30:00,58593
2015-10-28 05:45:00,60278
2015-10-28 06:00:00,61871
2015-10-28 06:15:00,61992
2015-10-28 06:30:00,63348
2015-10-28 06:45:00,63827
2015-10-28 07:00:00,64715
2015-10-28 07:15:00,65160
2015-10-28 07:30:00,65289
2015-10-28 07:45:00,65349
2015-10-28 08:00:00,65135
2015-10-28 08:15:00,65565
2015-10-28 08:30:00,66098
2015-10-28 08:45:00,66299
2015-10-28 09:00:00,66549
2015-10-28 09:15:00,66608
2015-10-28 09:30:00,66801
2015-10-28 09:45:00,66908
2015-10-28 10:00:00,67248
2015-10-28 10:15:00,67491
2015-10-28 10:30:00,67795
2015-10-28 10:45:00,67761
2015-10-28 11:00:00,67157
2015-10-28 11:15:00,66915
2015-10-28 11:30:00,66762
2015-10-28 11:45:00,66706
2015-10-28 12:00:00,66699
2015-10-28 12:15:00,66125
2015-10-28 12:30:00,65632
2015-10-28 12:45:00,65095
2015-10-28 13:00:00,64648
2015-10-28 13:15:00,64596
2015-10-28 13:30:00,64294
2015-10-28 13:45:00,64078
2015-10-28 14:00:00,64036
2015-10-28 14:15:00,63766
2015-10-28 14:30:00,63488
2015-10-28 14:45:00,62894
2015-10-28 15:00:00,62979
2015-10-28 15:15:00,62726
2015-10-28 15:30:00,62809
2015-10-28 15:45:00,63231
2015-10-28 16:00:00,64111
2015-10-28 16:15:00,65089
2015-10-28 16:30:00,66259
2015-10-28 16:45:00,66777
2015-10-28 17:00:00,66635
2015-10-28 17:15:00,66516
2015-10-28 17:30:00,67230
2015-10-28 17:45:00,67171
2015-10-28 18:00:00,67174
2015-10-28 18:15:00,66489
2015-10-28 18:30:00,65841
2015-10-28 18:45:00,65371
2015-10-28 19:00:00,63956
2015-10-28 19:15:00,62757
2015-10-28 19:30:00,61554
2015-10-28 19:45:00,60596
2015-10-28 20:00:00,59733
2015-10-28 20:15:00,59183
2015-10-28 20:30:00,58060
2015-10-28 20:45:00,56829
2015-10-28 21:00:00,56411
2015-10-28 21:15:00,55474
2015-10-28 21:30:00,54426
2015-10-28 21:45:00,53028
2015-10-28 22:00:00,51767
2015-10-28 22:15:00,50719
2015-10-28 22:30:00,49659
2015-10-28 22:45:00,48587
2015-10-28 23:00:00,47591
2015-10-28 23:15:00,46985
2015-10-28 23:30:00,46300
2015-10-28 23:45:00,45789
2015-10-29 00:00:00,45108
2015-10-29 00:15:00,44590
2015-10-29 00:30:00,44356
2015-10-29 00:45:00,43893
2015-10-29 01:00:00,43671
2015-10-29 01:15:00,43428
2015-10-29 01:30:00,43596
2015-10-29 01:45:00,43573
2015-10-29 02:00:00,43829
2015-10-29 02:15:00,43970
2015-10-29 02:30:00,44167
2015-10-29 02:45:00,44267
2015-10-29 03:00:00,44933
2015-10-29 03:15:00,45278
2015-10-29 03:30:00,45667
2015-10-29 03:45:00,46345
2015-10-29 04:00:00,47781
2015-10-29 04:15:00,48392
2015-10-29 04:30:00,49689
2015-10-29 04:45:00,50993
2015-10-29 05:00:00,54098
2015-10-29 05:15:00,56867
2015-10-29 05:30:00,58928
2015-10-29 05:45:00,60564
