Date,Day ahead/Wind Onshore in MAW
2016-10-26 22:00:00,5071
2016-10-26 22:15:00,5141
2016-10-26 22:30:00,5210
2016-10-26 22:45:00,5279
2016-10-26 23:00:00,5351
2016-10-26 23:15:00,5412
2016-10-26 23:30:00,5477
2016-10-26 23:45:00,5551
2016-10-27 00:00:00,5403
2016-10-27 00:15:00,5358
2016-10-27 00:30:00,5455
2016-10-27 00:45:00,5488
2016-10-27 01:00:00,5546
2016-10-27 01:15:00,5596
2016-10-27 01:30:00,5658
2016-10-27 01:45:00,5712
2016-10-27 02:00:00,5880
2016-10-27 02:15:00,5945
2016-10-27 02:30:00,6008
2016-10-27 02:45:00,6073
2016-10-27 03:00:00,6131
2016-10-27 03:15:00,6190
2016-10-27 03:30:00,6246
2016-10-27 03:45:00,6308
2016-10-27 04:00:00,6359
2016-10-27 04:15:00,6398
2016-10-27 04:30:00,6445
2016-10-27 04:45:00,6500
2016-10-27 05:00:00,6532
2016-10-27 05:15:00,6548
2016-10-27 05:30:00,6574
2016-10-27 05:45:00,6604
2016-10-27 06:00:00,6683
2016-10-27 06:15:00,6629
2016-10-27 06:30:00,6569
2016-10-27 06:45:00,6502
2016-10-27 07:00:00,6427
2016-10-27 07:15:00,6344
2016-10-27 07:30:00,6257
2016-10-27 07:45:00,6177
2016-10-27 08:00:00,6109
2016-10-27 08:15:00,6019
2016-10-27 08:30:00,5930
2016-10-27 08:45:00,5851
2016-10-27 09:00:00,5770
2016-10-27 09:15:00,5802
2016-10-27 09:30:00,5829
2016-10-27 09:45:00,5852
2016-10-27 10:00:00,5883
2016-10-27 10:15:00,5942
2016-10-27 10:30:00,5991
2016-10-27 10:45:00,6046
2016-10-27 11:00:00,6086
2016-10-27 11:15:00,6132
2016-10-27 11:30:00,6180
2016-10-27 11:45:00,6228
2016-10-27 12:00:00,6245
2016-10-27 12:15:00,6188
2016-10-27 12:30:00,6129
2016-10-27 12:45:00,6060
2016-10-27 13:00:00,5952
2016-10-27 13:15:00,5895
2016-10-27 13:30:00,5853
2016-10-27 13:45:00,5809
2016-10-27 14:00:00,5782
2016-10-27 14:15:00,5808
2016-10-27 14:30:00,5834
2016-10-27 14:45:00,5859
2016-10-27 15:00:00,5914
2016-10-27 15:15:00,6083
2016-10-27 15:30:00,6248
2016-10-27 15:45:00,6421
2016-10-27 16:00:00,6617
2016-10-27 16:15:00,6869
2016-10-27 16:30:00,7117
2016-10-27 16:45:00,7365
2016-10-27 17:00:00,7618
2016-10-27 17:15:00,7853
2016-10-27 17:30:00,8089
2016-10-27 17:45:00,8328
2016-10-27 18:00:00,8564
2016-10-27 18:15:00,8768
2016-10-27 18:30:00,8970
2016-10-27 18:45:00,9176
2016-10-27 19:00:00,9403
2016-10-27 19:15:00,9557
2016-10-27 19:30:00,9710
2016-10-27 19:45:00,9867
2016-10-27 20:00:00,10016
2016-10-27 20:15:00,10207
2016-10-27 20:30:00,10404
2016-10-27 20:45:00,10598
2016-10-27 21:00:00,10785
2016-10-27 21:15:00,10929
2016-10-27 21:30:00,11070
2016-10-27 21:45:00,11215
2016-10-27 22:00:00,11394
2016-10-27 22:15:00,11513
2016-10-27 22:30:00,11630
2016-10-27 22:45:00,11748
2016-10-27 23:00:00,11846
2016-10-27 23:15:00,11960
2016-10-27 23:30:00,12075
2016-10-27 23:45:00,12187
2016-10-28 00:00:00,12248
2016-10-28 00:15:00,12359
2016-10-28 00:30:00,12575
2016-10-28 00:45:00,12704
2016-10-28 01:00:00,12728
2016-10-28 01:15:00,12744
2016-10-28 01:30:00,12757
2016-10-28 01:45:00,12889
2016-10-28 02:00:00,13040
2016-10-28 02:15:00,13159
2016-10-28 02:30:00,13276
2016-10-28 02:45:00,13394
2016-10-28 03:00:00,13497
2016-10-28 03:15:00,13603
2016-10-28 03:30:00,13713
2016-10-28 03:45:00,13818
2016-10-28 04:00:00,13929
2016-10-28 04:15:00,14033
2016-10-28 04:30:00,14138
2016-10-28 04:45:00,14248
2016-10-28 05:00:00,14352
2016-10-28 05:15:00,14456
2016-10-28 05:30:00,14564
2016-10-28 05:45:00,14670
2016-10-28 06:00:00,14779
2016-10-28 06:15:00,14790
2016-10-28 06:30:00,14802
2016-10-28 06:45:00,14829
2016-10-28 07:00:00,14692
2016-10-28 07:15:00,14684
2016-10-28 07:30:00,14677
2016-10-28 07:45:00,14666
2016-10-28 08:00:00,14662
2016-10-28 08:15:00,14646
2016-10-28 08:30:00,14622
2016-10-28 08:45:00,14601
2016-10-28 09:00:00,14576
2016-10-28 09:15:00,14537
2016-10-28 09:30:00,14495
2016-10-28 09:45:00,14461
2016-10-28 10:00:00,14414
2016-10-28 10:15:00,14379
2016-10-28 10:30:00,14338
2016-10-28 10:45:00,14304
2016-10-28 11:00:00,14258
2016-10-28 11:15:00,14216
2016-10-28 11:30:00,14165
2016-10-28 11:45:00,14123
2016-10-28 12:00:00,14052
2016-10-28 12:15:00,13890
2016-10-28 12:30:00,13729
2016-10-28 12:45:00,13578
2016-10-28 13:00:00,13346
2016-10-28 13:15:00,13156
2016-10-28 13:30:00,12979
2016-10-28 13:45:00,12793
2016-10-28 14:00:00,12599
2016-10-28 14:15:00,12395
2016-10-28 14:30:00,12191
2016-10-28 14:45:00,11981
2016-10-28 15:00:00,11775
2016-10-28 15:15:00,11579
2016-10-28 15:30:00,11372
2016-10-28 15:45:00,11171
2016-10-28 16:00:00,10972
2016-10-28 16:15:00,10819
2016-10-28 16:30:00,10665
2016-10-28 16:45:00,10510
2016-10-28 17:00:00,10362
2016-10-28 17:15:00,10246
2016-10-28 17:30:00,10133
2016-10-28 17:45:00,10012
2016-10-28 18:00:00,9887
2016-10-28 18:15:00,9760
2016-10-28 18:30:00,9631
2016-10-28 18:45:00,9498
2016-10-28 19:00:00,9412
2016-10-28 19:15:00,9265
2016-10-28 19:30:00,9112
2016-10-28 19:45:00,8958
2016-10-28 20:00:00,8814
2016-10-28 20:15:00,8685
2016-10-28 20:30:00,8550
2016-10-28 20:45:00,8411
2016-10-28 21:00:00,8286
2016-10-28 21:15:00,8210
2016-10-28 21:30:00,8131
2016-10-28 21:45:00,8054
2016-10-28 22:00:00,8188
2016-10-28 22:15:00,8122
2016-10-28 22:30:00,8053
2016-10-28 22:45:00,7988
2016-10-28 23:00:00,7921
2016-10-28 23:15:00,7882
2016-10-28 23:30:00,7846
2016-10-28 23:45:00,7817
2016-10-29 00:00:00,8079
2016-10-29 00:15:00,8138
2016-10-29 00:30:00,8257
2016-10-29 00:45:00,8228
2016-10-29 01:00:00,8175
2016-10-29 01:15:00,8196
2016-10-29 01:30:00,8220
2016-10-29 01:45:00,8241
2016-10-29 02:00:00,8227
2016-10-29 02:15:00,8230
2016-10-29 02:30:00,8234
2016-10-29 02:45:00,8241
2016-10-29 03:00:00,8249
2016-10-29 03:15:00,8250
2016-10-29 03:30:00,8246
2016-10-29 03:45:00,8250
2016-10-29 04:00:00,8253
2016-10-29 04:15:00,8268
2016-10-29 04:30:00,8282
2016-10-29 04:45:00,8296
2016-10-29 05:00:00,8311
2016-10-29 05:15:00,8331
2016-10-29 05:30:00,8356
2016-10-29 05:45:00,8373
2016-10-29 06:00:00,8022
2016-10-29 06:15:00,8006
2016-10-29 06:30:00,7989
2016-10-29 06:45:00,7960
2016-10-29 07:00:00,7939
2016-10-29 07:15:00,7904
2016-10-29 07:30:00,7870
2016-10-29 07:45:00,7838
2016-10-29 08:00:00,7823
2016-10-29 08:15:00,7854
2016-10-29 08:30:00,7880
2016-10-29 08:45:00,7911
2016-10-29 09:00:00,7952
2016-10-29 09:15:00,8124
2016-10-29 09:30:00,8290
2016-10-29 09:45:00,8464
2016-10-29 10:00:00,8649
2016-10-29 10:15:00,8891
2016-10-29 10:30:00,9134
2016-10-29 10:45:00,9373
2016-10-29 11:00:00,9582
2016-10-29 11:15:00,9800
2016-10-29 11:30:00,10014
2016-10-29 11:45:00,10228
2016-10-29 12:00:00,10378
2016-10-29 12:15:00,10320
2016-10-29 12:30:00,10260
2016-10-29 12:45:00,10201
2016-10-29 13:00:00,10081
2016-10-29 13:15:00,9873
2016-10-29 13:30:00,9664
2016-10-29 13:45:00,9458
2016-10-29 14:00:00,9254
2016-10-29 14:15:00,9015
2016-10-29 14:30:00,8771
2016-10-29 14:45:00,8519
2016-10-29 15:00:00,8292
2016-10-29 15:15:00,8146
