Date,Wind Onshore in MAW
2017-10-26 23:00:00,13694
2017-10-26 23:15:00,13793
2017-10-26 23:30:00,13847
2017-10-26 23:45:00,14161
2017-10-27 00:00:00,14647
2017-10-27 00:15:00,14788
2017-10-27 00:30:00,14839
2017-10-27 00:45:00,15042
2017-10-27 01:00:00,15377
2017-10-27 01:15:00,15498
2017-10-27 01:30:00,15863
2017-10-27 01:45:00,15978
2017-10-27 02:00:00,16219
2017-10-27 02:15:00,16425
2017-10-27 02:30:00,16615
2017-10-27 02:45:00,16867
2017-10-27 03:00:00,17109
2017-10-27 03:15:00,17491
2017-10-27 03:30:00,17867
2017-10-27 03:45:00,18331
2017-10-27 04:00:00,19237
2017-10-27 04:15:00,19542
2017-10-27 04:30:00,19747
2017-10-27 04:45:00,20045
2017-10-27 05:00:00,20376
2017-10-27 05:15:00,20336
2017-10-27 05:30:00,20495
2017-10-27 05:45:00,20508
2017-10-27 06:00:00,20696
2017-10-27 06:15:00,20533
2017-10-27 06:30:00,20454
2017-10-27 06:45:00,20240
2017-10-27 07:00:00,20062
2017-10-27 07:15:00,20216
2017-10-27 07:30:00,20237
2017-10-27 07:45:00,20469
2017-10-27 08:00:00,20662
2017-10-27 08:15:00,21149
2017-10-27 08:30:00,21459
2017-10-27 08:45:00,21882
2017-10-27 09:00:00,22297
2017-10-27 09:15:00,22425
2017-10-27 09:30:00,22922
2017-10-27 09:45:00,23278
2017-10-27 10:00:00,24093
2017-10-27 10:15:00,24195
2017-10-27 10:30:00,24467
2017-10-27 10:45:00,24610
2017-10-27 11:00:00,24505
2017-10-27 11:15:00,24158
2017-10-27 11:30:00,24037
2017-10-27 11:45:00,24012
2017-10-27 12:00:00,23906
2017-10-27 12:15:00,23376
2017-10-27 12:30:00,22813
2017-10-27 12:45:00,22414
2017-10-27 13:00:00,22304
2017-10-27 13:15:00,22249
2017-10-27 13:30:00,22033
2017-10-27 13:45:00,21529
2017-10-27 14:00:00,21220
2017-10-27 14:15:00,20359
2017-10-27 14:30:00,19778
2017-10-27 14:45:00,18771
2017-10-27 15:00:00,17982
2017-10-27 15:15:00,17508
2017-10-27 15:30:00,17297
2017-10-27 15:45:00,17556
2017-10-27 16:00:00,17281
2017-10-27 16:15:00,17001
2017-10-27 16:30:00,16408
2017-10-27 16:45:00,15814
2017-10-27 17:00:00,15521
2017-10-27 17:15:00,14900
2017-10-27 17:30:00,15129
2017-10-27 17:45:00,14617
2017-10-27 18:00:00,14394
2017-10-27 18:15:00,14859
